algoritmo,n,tempo_medio_s,desvio_padrao_s,tempo_normalizado,teoria_normalizada
Fibonacci memoizado,10,0.01216168400060269,0.0026885769674729674,1.0,1.0
Fibonacci memoizado,25,0.026089622665798135,0.00100303401299199,2.1452310933671046,2.5
Fibonacci memoizado,50,0.1411717066669856,0.09408311099984935,11.607907807832339,5.0
Fibonacci memoizado,100,0.2823292323331164,0.09146816016752884,23.21464957641764,10.0
Fibonacci memoizado,200,0.2860051620003408,0.03351788408485072,23.516904565697267,20.0
Fibonacci memoizado,400,0.4608654556662562,0.0378061778345337,37.89487176639496,40.0
Merge sort,10,9.17323335064187e-05,8.723148959059898e-06,1.0,1.0
Merge sort,25,0.0002574650000800223,2.952168304343145e-05,2.8066984697604687,3.4948500216800937
Merge sort,50,0.0004935960005241213,1.1532561688200861e-05,5.380829001690919,8.494850021680092
Merge sort,100,0.001018592332911794,2.006481745040808e-05,11.103961863572577,19.999999999999996
Merge sort,200,0.0024210146663487344,0.00038534281921377575,26.392162651998067,46.02059991327962
Merge sort,400,0.0049713266659333994,0.0005770722212879991,54.19383194460594,104.0823996531185
Quicksort,10,8.719933369623807e-05,6.820300774931049e-06,1.0,1.0
Quicksort,25,0.00022176500048468975,1.5495993179238565e-05,2.5431960438736367,3.4948500216800937
Quicksort,50,0.00046829600008398603,2.6853491105040574e-05,5.370408009255111,8.494850021680092
Quicksort,100,0.0009888919994409662,7.153176631178135e-05,11.340591235316156,19.999999999999996
Quicksort,200,0.0023647806665394455,0.0005764936103079571,27.119251561912638,46.02059991327962
Quicksort,400,0.0047684613333937404,0.0004946929077560349,54.68460745359411,104.0823996531185
Strassen,2,3.216633437356601e-05,9.29261596815433e-06,1.0,1.0
Strassen,4,0.00018689833329214403,8.625711989368927e-06,5.810370902745304,7.000000000000001
Strassen,8,0.001242689999950623,2.183368914059117e-05,38.633248834590674,49.00000000000001
Strassen,16,0.009812853333035795,0.0008127495713931411,305.06594935790713,343.00000000000006
